id,type,address,number,postal_code,municipality,province,location,public,available,hours,coord_x,coord_y,Latitude AED,Longitude AED
10661.0,,Dikkebusvijverdreef,,8908,Vlamertinge,West-Vlaanderen,,y,,,50.8549,2.8202,50.8219948,2.8478542
10662.0,,Gelmelstraat,96.0,2320,Hoogstraten,Antwerpen,,y,,,51.4003,4.7603,51.4011746,4.7767518
10663.0,,Prins Boudewijnlaan,17.0,2550,Kontich,Antwerpen,,y,,,51.11905,4.45095,51.2472075,4.599023
10664.0,,Nederblok,,3212,Pellenberg,Vlaams-Brabant,,y,,,50.8724,4.7939,50.8685338,4.7778034
10665.0,,Bellevuedreef,3.0,2970,Schilde,Antwerpen,,y,,,51.251900000000006,4.57225,51.2348339,4.5657162
10666.0,,Roosveld,6.0,3400,Landen,Vlaams-Brabant,,y,,,50.7700875,5.039225,50.7504079,5.065645
10667.0,,Chaussée  verte,25.0,4460,Grâce-Hollogne,Liège,,y,,,50.6401,5.452583333333333,50.7061491,5.405849
10668.0,,Annuntiatenstraat,47.0,8000,Brugge,West-Vlaanderen,,y,,,51.2241,3.23585,51.2155803,3.2241329
10669.0,,Ruelle des Aulniats,202.0,6042,Lodelinsart,Hainaut,,y,,,50.4314,4.4489,50.4295617,4.4306788
10670.0,,Venecoweg,16.0,9810,Nazareth,Oost-Vlaanderen,,y,,,50.97965,3.6448,50.97965,3.6448
10671.0,,Pijnderslaan,88.0,9200,Dendermonde,Oost-Vlaanderen,,y,,,51.0227875,4.0848875,51.0320044,4.1146749
10672.0,,Bvd Léopold,285.0,1081,Bruxelles,Bruxelles-Brussel,,y,,,50.8612,4.3314,50.8612,4.3314
10673.0,,Bvd Léopold,285.0,1081,Bruxelles,Bruxelles-Brussel,,y,,,50.8612,4.3314,50.8612,4.3314
10674.0,,Bvd Léopold,285.0,1081,Bruxelles,Bruxelles-Brussel,,y,,,50.8612,4.3314,50.8612,4.3314
10675.0,,Bvd Léopold,285.0,1081,Bruxelles,Bruxelles-Brussel,,y,,,50.8612,4.3314,50.8612,4.3314
10676.0,,"Bedrijvenzone Machelen, Cargo gebouw ",,1830,Machelen,Vlaams-Brabant,,y,,,50.9106,4.4417,50.902756049999994,4.454061886187547
10677.0,,"Bedrijvenzone Machelen, Cargo gebouw ",,1830,Machelen,Vlaams-Brabant,,y,,,50.9106,4.4417,50.902756049999994,4.454061886187547
10678.0,,A.Rodenbachstraat,42.0,8020,Oostkamp,West-Vlaanderen,,y,,,51.117225000000005,3.23275,51.0416722,3.3979263
10679.0,,Sportstraat,2.0,8020,Oostkamp,West-Vlaanderen,,y,,,51.117225000000005,3.23275,51.0604858,3.23275
10680.0,Appareil fixe-Vast apparaat,Campus Blairon - Steenweg op Gierle,100.0,2300,Turnhout,Antwerpen,Hogeschool campus - binnenzijde inkomhal,Oui-Ja,Non-Nee,9u - 18u,51.3225,4.9447,51.31618605,4.930369109516416
10681.0,,Keizerstraat,14.0,2000,Antwerpen,Antwerpen,,y,,,51.2199,4.4035,51.1624311,4.4035
10682.0,,Esplanade,1.0,1020,Brussel,Bruxelles-Brussel,,y,,,50.8759,4.3484,50.8759,4.3484
10683.0,,Rue du Bois du Bosquet,17.0,1331,Rosières,Brabant Wallon,,y,,,50.731,4.5447,50.7340964,4.5472827
10684.0,,Bredabaan,31.0,2930,Brasschaat,Antwerpen,,y,,,51.2912,4.4918,51.2259917,4.5892134
10686.0,,Meenseweg,33.0,8900,Ieper,West-Vlaanderen,,y,,,50.8513,2.8668,50.8513,2.8668
10687.0,,Lange Van Ruusbroecstraat,12.0,2018,Antwerpen,Antwerpen,,y,,,51.2199,4.4035,51.2079963,4.4266668
10688.0,,Chemin du Fort  de Marchovelette,26.0,5020,Champion,Namur,,Y,,,50.48298571428571,4.829700000000001,50.5044159,4.9189925
10689.0,,Lijsterbeslaan,5.0,8400,Oostende,West-Vlaanderen,,Y,,,51.20643333333334,2.9372666666666665,51.2350665,2.9372666666666665
10690.0,,Nijverheidsstraat,115.0,1800,Vilvoorde,Vlaams-Brabant,,Y,,,50.92905,4.44065,50.92905,4.552467
10691.0,,Sint-Jansstraat,22.0,3900,Pelt,Limburg,,Y,,,51.2104,5.4156,51.2106014,5.4156
10692.0,,Augustijnenlaan,92.0,2800,Mechelen,Antwerpen,,Y,,,51.046400000000006,4.468,51.1766915,4.468
10693.0,,Miksebeestraat,153.0,2930,Brasschaat,Antwerpen,,Y,,,51.2912,4.4918,51.2912,4.4918
10694.0,,Miksebeestraat,153.0,2930,Brasschaat,Antwerpen,,Y,,,51.2912,4.4918,51.2912,4.4918
10695.0,,Miksebeestraat,153.0,2930,Brasschaat,Antwerpen,,Y,,,51.2912,4.4918,51.2912,4.4918
10696.0,,Abdij Van Vlierbeek,15.0,3010,Kessel-Lo,Vlaams-Brabant,,Y,,,50.8855,4.7372,50.8919476,4.73426
10697.0,,Aarschotsesteenweg ,39.0,3110,Rotselaar,Vlaams-Brabant,,Y,,,50.953,4.7167,51.1261774,4.5725778
10700.0,,Wetstraat,57.0,1040,Brussel,Bruxelles-Brussel,,Y,,,50.8327,4.3884,50.8327,4.3884
10701.0,,Leuvensesteenweg,510.0,1930,Zaventem,Vlaams-Brabant,,Y,,,50.88275,4.490600000000001,51.0011604,4.5237948
10702.0,,Steenweg,3.0,3540,Herk,Limburg,Stad,Y,,,50.947225,5.175675,50.9262699,5.175675
10703.0,,Peelsestraat,50.0,2380,Ravels,Antwerpen,,Y,,,51.3727,4.9921,51.3831096,5.0098652
10705.0,,Dikmuidsesteenweg,400.0,8800,Roeselare,West-Vlaanderen,,Y,,,50.942375,3.14765,50.942375,3.14765
10706.0,,Dikmuidsesteenweg,400.0,8800,Roeselare,West-Vlaanderen,,Y,,,50.942375,3.14765,50.942375,3.14765
10707.0,,Breedstraat,104.0,9100,Sint-Niklaas,Oost-Vlaanderen,,Y,,,51.17935,4.16075,51.17935,4.16075
10708.0,,Sint-Truidensesteenweg,200.0,3300,Tienen,Vlaams-Brabant,,Y,,,50.81495555555556,4.924133333333334,50.8021989,5.0515325
10709.0,,Bleyveldstraat,9.0,3320,Hoegaarden,Vlaams-Brabant,,Y,,,50.78185,4.86365,50.7715851,4.9093054
10710.0,,Zuidlaan,150.0,1000,Brussel,Bruxelles-Brussel,,Y,,,50.8504,4.3488,50.8504,4.3488
10711.0,,Grote Hulststraat,55.0,8700,Tielt,West-Vlaanderen,,Y,,,51.0103,3.371625,50.9952335,3.3275047
10712.0,,Industriepark Noord,18.0,9100,Sint-Niklaas,Oost-Vlaanderen,,Y,,,51.17935,4.16075,51.1471701,4.1701041142318385
10714.0,,Hoveniersstraat,22.0,2018,Antwerpen,Antwerpen,,Y,,,51.2199,4.4035,51.1614112,4.4035
10715.0,,Heikant,1.0,3930,Achel,Limburg,,Y,,,51.252,5.510866666666666,51.2491943,5.510866666666666
10716.0,,Place du Batty,6.0,6997,Mormont,Luxembourg,,Y,,,50.292375,5.5550749999999995,50.3265438,5.5924363
10717.0,,Rue des Ardennes,89.0,6780,Messancy,Luxembourg,,Y,,,49.61803333333333,5.816966666666667,49.61803333333333,5.816966666666667
